,Unnamed: 0,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,weight,price,screen_width,screen_height
612,206,HP 14-ep0110TU 8C5K9PA (Core™ i7-1355U | 16GB | 512GB | Intel® Iris® Xᵉ Graphics | 14inch FHD | Win 11 | Bạc),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,41.0,1.4,21990000.0,1920.0,1080.0
613,207,HP 14-ep0112TU 8C5L1PA (Core™ i5-1335U | 16GB | 512GB | Intel® Iris® Xᵉ Graphics | 14inch FHD | Win 11 | Bạc),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,41.0,1.4,19590000.0,1920.0,1080.0
614,208,Laptop Dell Inspiron 16 5630 71020244 (Core i5-1335U | 8GB | 512GB | 16 inch FHD | Win 11 | Office | Bạc),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,16.0,FHD,54.0,1.82,22990000.0,1920.0,1080.0
615,209,Laptop Asus Vivobook 14 X1404ZA-NK300W (Intel Core i3-1215U | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Xanh),Asus,Intel,i3,8.0,16.0,intel,SSD,256,Windows 11,14.0,FHD,42.0,1.4,11290000.0,1920.0,1080.0
616,210,Lenovo V15 G3 IAP 82TT005TVN (Core™ i3-1215U | Ram 8GB | 256GB SSD | Intel UHD Graphics | 15.6inch FHD | No OS | Đen),Lenovo,Intel,i3,8.0,16.0,intel,SSD,256,NoOS,15.6,FHD,38.0,1.7,11390000.0,1920.0,1080.0
617,211,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN (Core i5-12450H | 16GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Xám),Lenovo,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,47.0,1.37,15490000.0,1920.0,1080.0
618,212,Laptop Dell Inspiron 5430 71015633 (Core i7-1360P | 16GB | 1TB | RTX 2050 4GB | 14.0 inch 2.5K | Win 11 | Office | Bạc),Dell,Intel,i7,16.0,24.0,nvidia,SSD,1024,Windows 11,14.0,2.5K,54.0,1.5,31590000.0,2560.0,1600.0
619,213,"Lenovo Yoga 7 14IRL8 (Core™ i7-1355U, Ram 16GB, 512GB SSD, Intel Iris Xe Graphics, 14inch 2.2K, Win 11, Xám)",Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,2.2K,41.0,1.55,26990000.0,2240.0,1400.0
620,214,"Lenovo Yoga 7 14IAL7 (Core™ i5-1235U, Ram 8GB, 512GB SSD, Intel Iris Xe Graphics, 14inch 2.2K, Win 11, Xám)",Lenovo,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,2.2K,71.0,1.45,21990000.0,2240.0,1400.0
621,215,HP 240 G10 8F129PA (Intel Core i3-1315U | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Bạc),HP,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,14.0,FHD,41.0,1.47,12990000.0,1920.0,1080.0
622,216,HP 240 G10 8F136PA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Win 11 | Bạc),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,41.0,1.47,19590000.0,1920.0,1080.0
623,217,HP Pavilion 15-eg3097TU 8C5L8PA (Core i5-1335U | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i5,8.0,12.0,intel,SSD,256,Windows 11,15.6,FHD,41.0,1.7,18990000.0,1920.0,1080.0
624,218,HP Pavilion 15-eg3096TU 8C5L7PA (Core i5-1335U | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i5,8.0,12.0,intel,SSD,256,Windows 11,15.6,FHD,41.0,1.7,18990000.0,1920.0,1080.0
625,219,Laptop HP Pavilion 15-eg3099TU 8C5M0PA (Core i3-1315U | 8GB | 256GB | Intel UHD Graphics | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,15.6,FHD,41.0,1.7,15290000.0,1920.0,1080.0
626,220,Laptop HP Pavilion 15-eg3098TU 8C5L9PA (Core i3-1315U | 8GB | 256GB | Intel UHD Graphics | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,15.6,FHD,41.0,1.7,15290000.0,1920.0,1080.0
627,221,HP Pavilion 15-eg3092TU 8C5L3PA (Core i7-1355U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i7,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.7,23990000.0,1920.0,1080.0
628,222,Laptop Lenovo ThinkPad P14s Gen 4 21HF003SVA (Core i5-1340P | 16GB | 512GB | RTX A500 4GB | 14 inch 2.2K | NoOS | Đen),Lenovo,Intel,i5,16.0,24.0,nvidia,SSD,512,NoOS,14.0,2.2K,52.5,1.34,35500000.0,2240.0,1400.0
629,223,HP Pavilion 15-eg3000TU 8C6L7PA (Core i7-1355U | 16GB | 512GB | MX550 2GB | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i7,16.0,24.0,nvidia,SSD,512,Windows 11,15.6,FHD,41.0,1.7,21990000.0,1920.0,1080.0
630,224,Lenovo V14 G4 IRU 83A0000RVN (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Non OS | Xám),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,NoOS,14.0,FHD,38.0,1.43,19790000.0,1920.0,1080.0
631,225,Lenovo V15 G4 IRU 83A10007VN (Core i3-1315U | 8GB | 512GB | Intel UHD Graphics | 15.6 inch FHD | Non OS | Xám),Lenovo,Intel,i3,8.0,16.0,intel,SSD,512,NoOS,15.6,FHD,38.0,1.65,13090000.0,1920.0,1080.0
632,226,Lenovo V15 G4 IRU 83A1000NVN (Intel Core i3-1315U | 8GB | 512GB | Intel UHD Graphics | 15.6 inch FHD | Win 11 | Xám),Lenovo,Intel,i3,8.0,16.0,intel,SSD,512,Windows 11,15.6,FHD,38.0,1.65,14290000.0,1920.0,1080.0
633,227,"Laptop Dell XPS 9530 (Intel® Core ™ i7-13700H, Ram 16GB, SSD 1TB, RTX 4050 6GB, 15.6inch FHD+)",Dell,Intel,i7,16.0,24.0,nvidia,SSD,1024,Windows 11,15.6,FHD,86.0,1.86,50990000.0,1920.0,1200.0
634,228,Dell XPS 13 Plus 9320 5CG57 (Core i7-1360P | 32GB | 1TB | Intel Iris Xe | 13.4 inch 3.5K OLED | Cảm ứng | Win 11 | Office | Bạc),Dell,Intel,i7,32.0,48.0,intel,SSD,1024,Windows 11,13.4,3.5K,55.0,1.26,64990000.0,3456.0,2160.0
635,229,Laptop Lenovo ThinkPad L14 Gen 4 21H1003AVA (Core i7-1360P | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | NoOS | Đen),Lenovo,Intel,i7,16.0,64.0,intel,SSD,512,NoOS,14.0,FHD,46.5,1.4,27090000.0,1920.0,1080.0
636,230,HP 15-fd0079TU 8D732PA  (Core™ i5-1335U | 16GB | 512GB | Iris® Xᵉ Graphics | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.59,19590000.0,1920.0,1080.0
637,231,HP 15-fd0084TU 8D737PA  (Core™ i7-1355U | 8GB | 512GB | Iris® Xᵉ Graphics | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i7,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.59,21690000.0,1920.0,1080.0
638,232,HP 15-fd0081TU 8D734PA (Core™ i5-1335U | 8GB | 512GB | Iris® Xᵉ Graphics | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.59,18790000.0,1920.0,1080.0
639,233,HP 15-fd0083TU 8D736PA  (Core™ i7-1355U | 16GB | 512GB | Iris® Xᵉ Graphics | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.59,22490000.0,1920.0,1080.0
640,234,HP ProBook 440 G10 873B1PA (Core i5-1340P | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win11 | Silver),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,22690000.0,1920.0,1080.0
641,235,"Laptop Asus Zenbook Q420VA (Intel Core i7-13700H, Ram 16GB, SSD 512GB, 14.5inch 2.8K OLED Touch)",Asus,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.5,2.8K,70.0,1.56,25990000.0,2880.0,1800.0
642,236,HP Spectre x360 14-ef2062TU 8F5T5PA (Core™ i7-1355U | 16GB | 1TB | Intel® Iris® Xᵉ | 13.5inch 3K2K | Cảm ứng | Bút cảm ứng | Win 11 | Xanh),HP,Intel,i7,16.0,24.0,intel,SSD,1024,Windows 11,13.5,3K,66.0,1.36,49990000.0,3000.0,2000.0
643,237,Laptop HP Pavilion 15-eg3093TU 8C5L4PA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.7,21290000.0,1920.0,1080.0
644,238,Laptop HP Pavilion 15-eg3091TU 8C5L2PA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Windows 11 | Vàng),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.7,25290000.0,1920.0,1080.0
645,239,HP Pavilion 15-eg3095TU 8C5L6PA (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Bạc),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.7,19990000.0,1920.0,1080.0
646,240,HP Pavilion 15-eg3094TU 8C5L5PA (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win11 | Vàng),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.7,19990000.0,1920.0,1080.0
647,241,Laptop Dell Inspiron T7430 N7430I58W1 (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD + | Cảm ứng | Bút cảm ứng | Win 11 | Office | Bạc),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,FHD,54.0,1.6,24990000.0,1920.0,1200.0
648,242,HP Pavilion X360 14-ek1047TU 80R25PA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Cảm ứng | Win 11 | Vàng),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,43.0,1.7,27290000.0,1920.0,1080.0
649,243,Laptop Lenovo Yoga Pro 9 14IRP8 83BU002XVN (Core™ i9-13905H | 32GB | 1TB | RTX™ 4060 8GB | 14.5inch 3K 165Hz | Cảm ứng | Win 11 | Office | Tidal Teal) ,Lenovo,Intel,i9,32.0,48.0,nvidia,SSD,1024,Windows 11,14.5,3K,75.0,1.68,54990000.0,3072.0,1920.0
650,244,Laptop Lenovo ThinkPad E16 Gen 1 21JN006AVA (Core™ i7-1355U | 16GB | 512GB | Intel Iris Xe | 16 inch WUXGA | No OS | Đen),Lenovo,Intel,i7,16.0,40.0,intel,SSD,512,NoOS,16.0,WUXGA,47.0,1.97,24490000.0,1920.0,1200.0
651,245,Laptop Dell Inspiron 3530 N3530I716W1 (Core i7-1355U | 16GB | 512GB | GeForce MX550 | 15.6 inch FHD | Win 11 | Office | Bạc),Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,41.0,1.62,26990000.0,1920.0,1080.0
652,246,HP ProBook 440 G10 873A6PA (Core i5-1335U | 8GB | 256GB | Intel Iris Xe | 14 inch FHD | Win11 | Silver),HP,Intel,i5,8.0,12.0,intel,SSD,256,Windows 11,14.0,FHD,51.0,1.7,20590000.0,1920.0,1080.0
653,247,HP ProBook 440 G10 873A8PA (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win11 | Silver),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,21490000.0,1920.0,1080.0
654,248,HP ProBook 440 G10 873A9PA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe| 14 inch FHD | Win11 | Silver),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,21890000.0,1920.0,1080.0
655,249,HP ProBook 440 G10 873B8PA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Win11 | Silver),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,26090000.0,1920.0,1080.0
656,250,HP ProBook 440 G10 873A2PA (Core i3-1315U | 8GB | 256GB | Intel UHD Graphics | 14 inch FHD | Win11 | Silver),HP,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,14.0,FHD,51.0,1.7,16990000.0,1920.0,1080.0
657,251,HP ProBook 440 G10 873C1PA (Core i7-1360P | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Cảm ứng | Win 11 | Bạc),HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,27490000.0,1920.0,1080.0
658,252,Laptop Asus Vivobook 13 Slate OLED T3304GA-LQ021WS (Intel Core i3-N300 | 8GB | 256GB | Intel® UHD Graphics | 13.3inch FHD OLED | Cảm ứng | Bút cảm ứng | Win 11 | Office | Đen),Asus,Intel,i3,8.0,12.0,intel,SSD,0,Windows 11,13.3,FHD,50.0,0.8,19990000.0,1920.0,1080.0
659,253,Laptop Asus Vivobook 15X OLED S3504VA-L1226W (Intel Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 15.6inch FHD OLED | Win 11 | Bạc),Asus,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,50.0,1.6,21990000.0,1920.0,1080.0
660,254,HP ProBook 440 G10 873B2PA (Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Win11 | Silver),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,51.0,1.37,23290000.0,1920.0,1080.0
661,255,"HP Spectre 2in1 (Core™ i7-1355U, Ram 16GB, 512GB SSD, Iris Xe Graphics, 13.5inch WUXGA+, Cảm ứng, Nightfall Black)",HP,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,13.5,WUXGA,41.0,1.36,39990000.0,1920.0,1280.0
662,256,Laptop Asus Vivobook 16 X1605VA-MB105W (Core i5-1335U | 8GB | 512GB | Intel UHD Graphics | 16-inch WUXGA | Win 11| Bạc),Asus,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,16.0,WUXGA,42.0,1.88,18190000.0,1920.0,1200.0
663,257,Laptop Dell Vostro 15 3530 80GG91 (Intel Core i7-1355U | 16GB | 512GB | MX550 2GB | 15.6 inch FHD | Win 11 | Office | Xám),Dell,Intel,i7,16.0,24.0,nvidia,SSD,512,Windows 11,15.6,FHD,54.0,1.9,25490000.0,1920.0,1080.0
664,258,Laptop Dell Inspiron 14 5430 N5430I58W1 (Intel Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win 11 | Office | Bạc),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,FHD,54.0,1.5,20990000.0,1920.0,1200.0
665,259,HP Pavilion X360 14-ek1049TU 80R27PA (Core i5-1335U | 16GB | 512GB | Intel® UHD | 14 inch FHD | Cảm ứng | Win 11 | Vàng),HP,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,43.0,1.7,24190000.0,1920.0,1080.0
666,260,Dell XPS 9320 13 Plus 71013325 (Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 13.4 inch 3.5K OLED | Cảm ứng | Win 11 | Office | Bạc),Dell,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,13.4,3.5K,55.0,1.26,51990000.0,3456.0,2160.0
667,261,Laptop Dell Vostro 5630 THT7N (Core i7-1360P | 16GB | 512GB | RTX 2050 4GB | 16.0 inch FHD+ | Win 11 | Xám),Dell,Intel,i7,16.0,24.0,nvidia,SSD,512,Windows 11,16.0,FHD,54.0,1.85,31990000.0,1920.0,1200.0
668,262,"Lenovo Yoga 7 16IRL8 (Core™ i5-1335U, Ram 8GB, 512GB SSD, Intel® Iris® Xe Graphics, 16inch WUXGA, Win 11, Xám)",Lenovo,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,16.0,WUXGA,71.0,2.04,17990000.0,1920.0,1200.0
669,263,Laptop Lenovo ThinkPad T16 Gen 2 21HH003PVA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 16 inch WUXGA | NoOS | Đen),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,NoOS,16.0,WUXGA,52.5,1.67,31090000.0,1920.0,1200.0
670,264,Laptop Lenovo ThinkPad T16 Gen 2 21HH003NVA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 16 inch WUXGA | NoOS | Đen),Lenovo,Intel,i5,16.0,24.0,intel,SSD,512,NoOS,16.0,WUXGA,52.5,1.67,28490000.0,1920.0,1200.0
671,265,Laptop Lenovo ThinkPad E14 Gen 5 21JK006QVA (Core™ i5-1335U | 8GB | 512GB | Intel® Iris® Xe Graphics | 14inch WUXGA | No OS | Đen),Lenovo,Intel,i5,8.0,40.0,intel,SSD,512,NoOS,14.0,WUXGA,47.0,1.53,21490000.0,1920.0,1200.0
672,266,Laptop Lenovo IdeaPad Slim 5 14IRL8 82XD002VVN (Core™ i5-13500H | 16GB | 512GB | Intel® Iris® Xe | 14inch WUXGA OLED | Win 11 | Xám),Lenovo,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,WUXGA,56.6,1.46,20490000.0,1920.0,1200.0
673,267,Laptop Dell Vostro 3530 80GG9 (Intel Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Xám),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.66,18990000.0,1920.0,1080.0
674,268,LG Gram 2023 14Z90R-G.AH53A5  (Core i5-1340P | 16GB | 256GB | Intel Iris Xe | 14-inch WUXGA | Win 11 | Xám),LG,Intel,i5,16.0,24.0,intel,SSD,256,Windows 11,14.0,WUXGA,72.0,0.999,32490000.0,1920.0,1200.0
675,269,LG Gram 2023 16Z90R-G.AH76A5 (Core i7-1360P | 16GB | 512GB | Intel Iris Xe | 16-inch WQXGA | Win 11 | Xám),LG,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,16.0,FHD,80.0,1.199,46990000.0,2560.0,1600.0
676,270,LG Gram 2023 16Z90R-E.AH75A5 (Core i7-1360P | 16GB | 512GB | RTX 3050 4GB | 16-inch WQXGA | Win 11 | Đen),LG,Intel,i7,16.0,24.0,nvidia,SSD,512,Windows 11,16.0,FHD,90.0,1.299,49990000.0,2560.0,1600.0
677,271,LG Gram 2023 17Z90R-G.AH78A5 (Core i7-1360P | 16GB | 1TB | Intel Iris Xe | 17 inch WQXGA | Win 11 | Đen),LG,Intel,i7,16.0,24.0,intel,SSD,1024,Windows 11,17.0,FHD,80.0,1.35,50990000.0,2560.0,1600.0
678,272,LG Gram Style 2023 14Z90RS-G.AH54A5 (Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 14-inch WQXGA+ | Win 11 | Trắng),LG,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,72.0,0.999,38990000.0,2880.0,1800.0
679,273,"LG Gram 2023 SuperSlim 15Z90RT-G.AH55A5 (Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD, OLED | Win 11 | Xanh)",LG,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,FHD,60.0,0.99,42990000.0,1920.0,1080.0
680,274,Laptop Dell Inspiron 15 3530 N3530-i5U085W11BLU (Core i5-1335U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Office | Đen),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.85,18990000.0,1920.0,1080.0
681,275,Laptop Dell Inspiron 14 7430 2-in-1 T7430-i7U165W11SLU (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14.0 inch FHD+ | Cảm ứng | Bút cảm ứng | Win 11 | Office | Bạc),Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,FHD,54.0,1.6,29490000.0,1920.0,1200.0
682,276,Laptop Dell Inspiron 15 3530 N3530-i3U085W11BLU (Core i3-1305U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Office | Đen),Dell,Intel,i3,8.0,12.0,intel,SSD,512,Windows 11,15.6,FHD,41.0,1.85,15490000.0,1920.0,1080.0
683,277,Laptop Asus Vivobook S 14 Flip  TP3402VA-LZ025W (Core i3-1315U | 8GB | 256GB | Intel UHD Graphics | 14.0inch WUXGA | Cảm ứng | Win 11 | Bạc),Asus,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,14.0,WUXGA,50.0,1.5,16990000.0,1920.0,1200.0
